qid,generation_from_seed,depth_from_roots
Q102434015,2,2
Q102434144,2,2
Q102434206,2,2
Q102434217,2,2
Q105446586,3,3
Q106630002,3,3
Q106630003,3,3
Q106630007,4,4
Q106630009,4,4
Q106630013,3,3
Q106630015,3,3
Q106630017,4,4
Q106630018,4,4
Q106630021,5,5
Q106630022,5,5
Q106630024,6,6
Q106630025,6,6
Q106630027,6,6
Q106630028,6,6
Q106630032,5,5
Q106630036,5,5
Q106630037,6,6
Q106630038,6,6
Q106630039,6,6
Q106630040,6,6
Q106630046,7,7
Q106630047,7,7
Q106630048,8,8
Q106630050,8,8
Q106630051,8,8
Q106630052,8,8
Q312556,0,0
Q92464290,1,1
Q97749941,1,1
