qid,name,sibling,spouse
Q101163,Markus Liebherr,3,0
Q104244647,NA,0,1
Q104244659,NA,0,1
Q104244727,NA,0,1
Q105855915,Hans-Peter Porsche,2,0
Q105926,Ingeburg Herz,0,1
Q1097523,NA,0,1
Q1113071,Willi Liebherr,5,0
Q1170395,Max Herz,0,1
Q126871566,NA,1,0
Q127325131,Aloisia Johanna Porsche,0,2
Q1498159,NA,0,1
Q1540165,Silvia Quandt,2,0
Q1560580,Günter Herz,4,0
Q15791692,Adolf Würth,0,2
Q15821050,NA,1,0
Q15822957,NA,1,0
Q1633289,NA,1,0
Q1674480,Isolde Liebherr,3,0
Q18566023,NA,1,0
Q18566050,NA,1,0
Q18704846,Theo Albrecht junior,2,0
Q18921896,NA,1,0
Q19976123,NA,1,0
Q20751076,Marianne Bruhn,0,2
Q20751111,Antonie Ewald,1,2
Q21459886,NA,1,0
Q21460156,NA,1,0
Q22001178,Alfred Kühne,1,0
Q2561068,NA,0,1
Q2589319,Wolfgang Bruhn,0,2
Q2644399,Alfons Knauf,1,0
Q2649583,Alma Würth,0,2
Q28317048,Beate Heister,2,1
Q28317051,Karl Albrecht jr.,2,1
Q289590,Susanne Klatten,3,1
Q29640766,NA,0,1
Q30863,Karl Albrecht,1,1
Q48926402,NA,1,0
Q48926409,NA,1,0
Q5535800,Georg Schaeffler,0,2
Q57202,NA,0,1
Q57249,Ferdinand Porsche,0,2
Q57771,Theo Albrecht,1,2
Q59245705,Cäcilie Albrecht,0,2
Q592879,Anton Piëch,2,2
Q60716,Ferdinand Alexander Porsche,3,0
Q62496,Harald Quandt,8,0
Q63043,Günther Quandt,0,3
Q655637,Berthold Albrecht,2,1
Q70369423,NA,0,1
Q72524,Herbert Quandt,2,2
Q75882,Johanna Quandt,0,2
Q75900,Stefan Quandt,3,0
Q78465,Reinhold Würth,0,1
Q78713,Ferdinand Piëch,1,1
Q78769,Ferry Porsche,2,0
Q80887741,NA,1,0
Q80890422,NA,1,0
Q85636,Louise Piëch,2,2
Q86208,Maria-Elisabeth Schaeffler,0,2
Q94757736,Ernst Piëch,1,0
Q94787687,NA,1,0
Q96655,NA,0,1
Q97002,Wolfgang Porsche,3,2
Q98228,NA,1,0
NA,NA,2,2
